name,market_cap,revenue,pe,earnings,margin
Reliance Ind,19650000000000.0,10250000000000.0,23.52,835459183673.4694,0.08150821304131409
HDFC Bank,14480000000000.0,3480000000000.0,19.48,743326488706.3655,0.21359956572021996
Bharti Airtel,12400000000000.0,2040000000000.0,38.87,319012091587.34247,0.15637847626830514
Tata Consult,10650000000000.0,2610000000000.0,22.25,478651685393.2584,0.1833914503422446
ICICI Bank,10070000000000.0,1940000000000.0,19.18,525026068821.6893,0.2706319942379842
State Bank,9850000000000.0,5050000000000.0,11.79,835453774385.0721,0.16543639096734103
Hindu Unilever,6260000000000.0,642430000000.0,51.98,120430934974.99039,0.18746156775834003
Bajaj Finance,6100000000000.0,412600000000.0,33.71,180955206170.27588,0.43857296696625275
Infosys,6100000000000.0,19850000000.0,21.4,285046728971.96265,14.360036724028346
Larsen&Toubro,5590000000000.0,2830000000000.0,32.68,171052631578.94736,0.06044262599962804
Maruti Suzuki,4710000000000.0,1720000000000.0,31.55,149286846275.75278,0.08679467806729813
HCL Tech,4360000000000.0005,14480000000.0,27.12,160766961651.91742,11.1026907218175
Kotak Mahindra,4200000000000.0,765440000000.0,22.26,188679245283.01886,0.24649775982835867
Axis Bank,4170000000000.0,1310000000000.0,15.89,262429200755.19193,0.20032763416426866
ITC,4090000000000.0,798090000000.0,19.97,204807210816.22433,0.2566216978238348
Sun Pharma AR,4059999999999.9995,568090000000.0,37.28,108905579399.14162,0.19170479923804612
Mahindra & Mahindra,4000000000000.0,1780000000000.0,28.26,141542816702.05237,0.07951843634946762
UltraTech,3740000000000.0,857750000000.0,48.75,76717948717.94872,0.08944091951961378
Titan Company,3680000000000.0,679040000000.0,89.24,41237113402.06186,0.06072854824761702
Adani Ports & SEZ,3570000000000.0,364870000000.0,26.76,133408071748.87892,0.3656317914568995
NTPC,3540000000000.0,1880000000000.0,14.6,242465753424.65753,0.12897114543864763
Oil&Gas Corp,3380000000000.0,6560000000000.0,9.18,368191721132.89764,0.056126786758063665
Bajaj Finserv Limited,3230000000000.0,1470000000000.0,33.31,96967877514.25998,0.06596454252670747
Bharat Electronics,3140000000000.0,265350000000.00003,52.59,59707168663.24396,0.2250128835999395
JSW Steel,3020000000000.0,1790000000000.0,40.52,74531095755.18262,0.041637483662113194
Adani Enterprises,2870000000000.0,949950000000.0,19.01,150973172014.72906,0.15892749304145382
Coal India,2860000000000.0,1310000000000.0,8.49,336866902237.92694,0.2571503070518526
Power Grid,2720000000000.0,473430000000.0,17.54,155074116305.58725,0.3275544775480794
Bajaj Auto,2670000000000.0,590240000000.0,29.87,89387345162.37027,0.15144237117506484
Eternal,2600000000000.0,429050000000.0,1158.59,2244107061.16918,0.005230409185803938
Nestle India Ltd,2510000000000.0,218580000000.0,77.0,32597402597.402596,0.14913259491903466
Tata Steel Ltd,2460000000000.0,2220000000000.0,36.14,68068622025.45656,0.03066154145290836
Wipro,2410000000000.0,908920000000.0,18.27,131910235358.51123,0.14512854306045772
Asian Paints,2310000000000.0,346500000000.0,59.83,38609393280.96273,0.11142682043567888
Hindalco Ind,2089999999999.9998,2540000000000.0,11.74,178023850085.17886,0.07008812995479483
SBI Life Insurance,2000000000000.0,1310000000000.0,80.63,24804663276.696022,0.018934857463126734
Eicher Motors,1970000000000.0,212910000000.0,38.55,51102464332.03632,0.24001908943702185
Grasim Industries,1920000000000.0,1600000000000.0,44.56,43087971274.685814,0.026929982046678635
Shriram Finance,1890000000000.0,199080000000.0,20.51,92150170648.46416,0.4628801017101877
Jio Financial Services,1720000000000.0,25060000000.0,112.37,15306576488.38658,0.6107971463841413
HDFC Life,1520000000000.0,1040000000000.0,80.07,18983389534.15761,0.018253259167459242
Trent,1460000000000.0,192060000000.0,89.16,16375056078.959175,0.08526010662792448
Tech Mahindra,1430000000000.0,551230000000.0,31.01,46114156723.637535,0.08365683421373571
Tata Motors Passenger Vehicles,1360000000000.0,4019999999999.9995,1.45,937931034482.7587,0.23331617773202953
Tata Consumer Products,1150000000000.0,194650000000.0,77.83,14775793395.862778,0.07590954737150156
Hero Moto,1150000000000.0,444810000000.0,21.11,54476551397.44197,0.12247150782905504
Cipla,1070000000000.0001,279670000000.0,23.58,45377438507.20951,0.1622535077312887
Apollo Hospitals,1030000000000.0,232650000000.0,61.51,16745244675.662495,0.07197612153734148
Dr Reddyâ€™s Laboratories,1030000000000.0,345830000000.0,18.18,56655665566.556656,0.16382519031476928
IndusInd Bank,704870000000.0,458790000000.0,-34.53,,
